Summary,Issue Type,Description,Epic Name,Parent,Priority,Labels,Story Points,Acceptance Criteria,Dependencies,Milestone
[BL-028] Implement CLI-over-config precedence,Story,Synthetic ID: BL-028. Owner role: backend engineer. Summary: Apply precedence rules so CLI options override config values consistently.,,EPIC-G,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-028,epic-g",2,- Precedence behavior tested for all overlapping options. ; - Effective runtime config logged. ; - Conflict behavior deterministic and documented.,BL-027,M4
[BL-029] Implement OrganizationalIRExportService,Story,Synthetic ID: BL-029. Owner role: backend engineer. Summary: Serialize socio-technical artifact to JSON using existing utility conventions.,,EPIC-H,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-029,epic-h",3,- Export service writes artifact to configured path. ; - Directory creation and write failures handled. ; - Export output deterministic for same input.,BL-004; BL-005; BL-013,M4
[BL-030] Enforce compatibility with docs/example_ir.json target shape,Story,Synthetic ID: BL-030. Owner role: architect. Summary: Ensure exported JSON aligns with expected top-level and organizational sections when possible.,,EPIC-H,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-030,epic-h",3,- Required sections/fields present and typed correctly. ; - Optional arrays allowed empty. ; - Compatibility checker/test implemented.,BL-029,M4
[BL-031] Define output naming convention and metadata/versioning,Story,Synthetic ID: BL-031. Owner role: backend engineer. Summary: Add deterministic output filename strategy and include schema/provenance metadata in artifact.,,EPIC-H,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-031,epic-h",2,"- Naming convention documented and tested. ; - Metadata includes schema version, generation time, window/config summary. ; - Defaults and override behavior clear.",BL-029; BL-030,M4
[BL-032] Build synthetic fixture generator for socio-technical test datasets,Task,"Synthetic ID: BL-032. Owner role: QA. Summary: Create reusable fixtures with controlled commits, aliases, service mappings, and switching patterns.",,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-032,epic-i",3,"- Fixture generator or static fixtures available for unit/integration tests. ; - Covers at least: alias collision, multi-service commits, sparse windows. ; - Fixture docs explain intended metric outcomes.",BL-005; BL-006,M5
"[BL-033] Unit tests: extraction, mapping, identity, windowing",Task,Synthetic ID: BL-033. Owner role: QA. Summary: Add unit coverage for foundational data pipeline components.,,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-033,epic-i",5,- Core primitives have high-signal tests. ; - Edge cases covered for empty/malformed inputs. ; - Tests deterministic and CI-enabled.,BL-007; BL-009; BL-011; BL-015; BL-032,M5
[BL-034] Golden tests: ownership/PTC/NOC/AOC/roles/RSI,Task,Synthetic ID: BL-034. Owner role: QA. Summary: Add fixed expected-value tests to protect metric algorithms from silent drift.,,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-034,epic-i",5,- Golden expected outputs committed and reviewed. ; - Formula version bumps require explicit golden updates. ; - Failure diffs readable for diagnosis.,BL-017; BL-018; BL-019; BL-020; BL-021; BL-022; BL-024; BL-032,M5
[BL-035] Export/schema contract tests,Task,Synthetic ID: BL-035. Owner role: QA. Summary: Validate exported artifact compatibility and field contracts including optional sections.,,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-035,epic-i",3,- Key-path/type contract tests pass. ; - Required fields enforced. ; - Optional sections accepted as empty arrays.,BL-030,M5
[BL-036] Regression tests for legacy CIMET flows,Task,Synthetic ID: BL-036. Owner role: QA. Summary: Ensure existing IR/Delta/Merge/detection behavior is unchanged when organizational mode disabled.,,EPIC-J,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-036,epic-j",3,- Legacy integration tests pass unchanged. ; - Representative old outputs compared baseline vs new code. ; - Regression report attached to CI artifacts.,BL-003; BL-027,M5
[BL-037] Performance baseline and scalability scenario,Task,Synthetic ID: BL-037. Owner role: data engineer. Summary: Establish runtime and memory baseline for full-history vs windowed analysis on medium/large histories.,,EPIC-J,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-037,epic-j",3,- Benchmark scenario and results documented. ; - Bottlenecks identified with recommended optimizations. ; - Follow-up backlog tickets created for confirmed hotspots.,BL-027; BL-034,M4
[BL-038] Structured logging and failure diagnostics hardening,Task,"Synthetic ID: BL-038. Owner role: backend engineer. Summary: Standardize logs for stage progress, counts, warnings, and failure reasons.",,EPIC-J,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-038,epic-j",2,"- Each stage logs start/end with counts. ; - Failures include actionable context (invalid config, mapping misses, parse failures). ; - Log format consistent across runner and services.",BL-027,M4
[BL-039] Document metric definitions and caveats,Task,"Synthetic ID: BL-039. Owner role: docs. Summary: Add documentation for PTC, NOC/AOC, Jack/Maven/Connector, RSI, assumptions, and interpretation limits.",,EPIC-K,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-039,epic-k",3,- Docs include formulas/semantics and edge-case interpretation. ; - Assumptions and limitations explicitly stated. ; - Links to config controls affecting each metric.,BL-017; BL-018; BL-019; BL-024,M5
[BL-040] Publish runner usage and migration guide,Task,"Synthetic ID: BL-040. Owner role: docs. Summary: Document CLI usage, config examples, output interpretation, and backward compatibility guarantees.",,EPIC-K,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-040,epic-k",2,- Quick-start examples for full-history and windowed runs. ; - Migration guidance for existing CIMET users. ; - Troubleshooting section added.,BL-027; BL-031; BL-036,M5
[BL-041] Metric formula calibration spike,Task,Synthetic ID: BL-041. Owner role: architect. Summary: Validate and calibrate PTC/NOC/AOC/role/RSI formulations against reference examples and synthetic scenarios.,,EPIC-L,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-041,epic-l",3,- Formula alternatives evaluated and documented. ; - Default formulations selected with rationale. ; - Metric metadata/version updates identified.,BL-017; BL-018; BL-019; BL-024,M0
[BL-042] Identity normalization quality spike,Task,Synthetic ID: BL-042. Owner role: data engineer. Summary: Assess alias normalization quality (false merges/splits) and tune resolution rules.,,EPIC-L,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-042,epic-l",2,- Quality assessment on representative datasets completed. ; - High-risk ambiguity patterns documented. ; - Resolver refinement recommendations captured.,BL-011; BL-012,M3
[BL-043] NOC switching-signal design spike,Task,Synthetic ID: BL-043. Owner role: architect. Summary: Compare switching signal variants (commit-count vs LOC-weighted) and select default strategy.,,EPIC-L,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-043,epic-l",2,- Variant comparison results documented. ; - Default strategy selected with rationale. ; - Compatibility impact on AOC metadata documented.,BL-018,M2
[BL-044] Incremental/windowed scaling spike,Task,Synthetic ID: BL-044. Owner role: data engineer. Summary: Prototype incremental processing and caching strategy for large-history repositories.,,EPIC-L,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-044,epic-l",3,- Prototype design and measurements documented. ; - Bottlenecks and recommended path identified. ; - Follow-up implementation tasks proposed.,BL-037,M5
[BL-045] Schema evolution and migration policy spike,Task,"Synthetic ID: BL-045. Owner role: architect. Summary: Define schema evolution policy, compatibility levels, and migration guidance for socio-technical IR outputs.",,EPIC-L,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-045,epic-l",2,- Versioning policy documented with examples. ; - Breaking vs non-breaking criteria established. ; - Migration-note template created for future schema changes.,BL-030; BL-031,M5
